Region, Country_Code, Country_Name 
Pacific Islands,469,  WALLIS AND FUTUNA ISLANDS 
Caribbean,757,  WEST INDIES (FRENCH) 
North Africa,333,  WESTERN SAHARA 
Pacific Islands,465,  WESTERN SAMOA 
Central Asia,216,  YEMEN 
Balkan,139,  YUGOSLAVIA 
Western Africa,301,  ZAIRE 
Central Africa,344,  ZAMBIA 
Central Africa,315,  ZIMBABWE 
US Territories,403,  AMERICAN SAMOA 
Antarctica,712,  ANTARCTICA 
US Territories,700,  Ship 
Antarctica,719,  BOUVET ISLAND (ANTARCTICA/NORWAY TERR.) 
North America,574,  CANADA 
Central Europe,106,  CZECHOSLOVAKIA 
N/A,720,CANTON AND ENDERBURY ISLS 
Central Europe,739,  CZECHOSLOVAKIA 
Antarctica,394,  FRENCH SOUTHERN AND ANTARCTIC 
Northern Europe,501,  Greenland 
US Territories,404,   GUAM 
N/A ,730,  International Waters 
N/A,731,  JOHNSON ISLAND 
N/A,471,  MARIANA ISLANDS, NORTHERN,
US Territories,737,  MIDWAY ISLANDS 
US Territories,753,  MINOR OUTLYING ISLANDS - USA 
Central Asia,740,  NEUTRAL ZONE (S. ARABIA/IRAQ) 
N/A,710,  NON-QUOTA IMMIGRANT 
US Territories,505,  PUERTO RICO 
N/A,0,  Stateless 
US Territories,705,  Stateless 
US Territories,583,  UNITED STATES 
US Territories,407,  UNITES STATES 
N/A,999,  UNKNOWN 
US Territories,239,  UNKNOWN COUNTRY 
US Territories,134,  USSR 
US Territories,506,  U.S. VIRGIN ISLANDS 
US Territories,755,  WAKE ISLAND 
US Territories,311,  Other 
US Territories,741,  Other 
US Territories,54,  Other 
US Territories,100,  Other 
US Territories,187,  Other 
US Territories,190,  Other 
US Territories,200,  Other 
US Territories,219,  Other 
US Territories,238,  Other 
US Territories,277,  Other 
US Territories,293,  Other 
US Territories,300,  Other 
US Territories,319,  Other 
US Territories,365,  Other 
US Territories,395,  Other 
US Territories,400,  Other 
US Territories,485,  Other 
US Territories,503,  Other 
US Territories,589,  Other 
US Territories,592,  Other 
US Territories,791,  Other 
US Territories,849,  Other 
US Territories,914,  Other 
US Territories,944,  Other 
US Territories,996,  Other 
